adrenals                ,0,255,120,adrenal gland
blood                   ,255,0,0,artery,blooda,ext blooda,heart_lumen
bone cortical           ,220,220,220,bone,ext bone cortical,bone average,skull,patella,mandible,vertebrae,calcaneus,capitatum,femur,fibula,hamatum,humerus,lunatum,pisiforme,radius,scaphoideum,talus,tibia,trapezium,trapezoideum,triquetrum,ulna,distalis,media,proximalis
bone marrow             ,200,220,240,bone medullary cavity,marrow,bone marrow yellow,ext bone medullary cavity,calcaneus_marrow,femur_marrow,fibula_marrow,hamatum_marrow,humerus_marrow,marrow_red,metacarpus_marrow,radius_marrow,bone medullary cavity,capitatum_marrow,talus_marrow,tibia_marrow,ulna_marrow
bone marrow red         ,240,220,200,marrow red,marrow_red
bone spongiosa          ,200,220,240,bone cancellous,bone trabecular,metacarpus
brain                   ,120,120,120,brain average,medulla_oblongata,midbrain,pons
breast glandular tissue ,255,128,255,breast gland
bronchi                 ,0,255,120
cartilage               ,240,240,200,ear cartilage,intervertebral_disc,larynx,meniscus
colon contents          ,180,120,0,large intestine lumen
colon wall              ,180,90,0,colon large intestine,large intestine,vagina
eye bulb                ,240,240,200,eye vitreous humor,vitreous humor
eye lens                ,0,255,255
eye cornea              ,0,255,255,cornea
fat                     ,255,200,100,ext fat,breast,SAT
SAT                     ,255,200,0,subcutaneous adipose tissue, SAT (Subcutaneous Fat)
connective tissue       ,255,255,150
gall bladder contents   ,100,255,100,bile
gall bladder wall       ,0,255,0,gall bladder
heart                   ,220,0,0,heart muscle
kidney cortex           ,128,0,255
kidney medulla          ,128,80,255
kidney pelvis           ,90,60,255
liver                   ,128,64,32
lung                    ,64,192,255
lymphatic nodes         ,200,255,0
mucosa                  ,120,180,0,mucous membrane
muscle                  ,200,120,120,ext muscle,diaphragm
esophagus               ,255,160,0,oesophagus
ovaries                 ,255,128,255,ovary
pancreas                ,0,255,120
pituitary gland         ,0,255,120,hypophysis,pinealbody
prostate                ,0,255,120
penis                   ,0,180,255
muscle fat average      ,200,120,120,visceral pericardium
salivary gland          ,0,255,120,salivary glands
skin                    ,255,192,192,ear skin,ext skin
small intestine contents,160,80,0,small intestine lumen
small intestine wall    ,255,190,0,small intestine
nerve                   ,0,255,120
spinal cord             ,0,255,120,nerve
spleen                  ,160,240,200
stomach contents        ,180,90,0,stomach lumen
stomach wall            ,255,128,0,stomach
teeth                   ,255,255,240,tooth
testes                  ,0,255,220,testis,epididymis
thymus                  ,180,255,0
thyroid                 ,0,255,120,thyroid gland
tongue                  ,200,120,120
tonsils                 ,0,255,120,lymphnode
trachea                 ,0,255,120
ureter                  ,0,255,120,ureter\urethra
urethra                 ,0,255,120
urinary bladder contents,255,255,120,urine
urinary bladder wall    ,255,255,0,urinary bladder ,bladder
uterus                  ,255,120,120,uterus cervix
air inside body         ,0,255,255,air,air_internal,bronchi_lumen,esophagus_lumen,pharynx,trachea_lumen
mucosa anterior nasal   ,0,255,120
mucosa posterior nasal  ,0,255,120
bone average            ,220,220,220
kidney average          ,128,0,255,kidney
bloodv                  ,80,80,255,blood,ext bloodv,vein
blood vessel wall       ,255,0,0,blood vessel
cerebrospinal fluid     ,0,255,0,csf,pericardial fluid
ventricles              ,0,255,0,cerebrospinal fluid
brain grey matter       ,120,120,120,hippocampus,hypothalamus,thalamus
brain white matter      ,240,240,240,commissura_anterior,commissura_posterior
cerebellum              ,180,180,180
bone ossicles           ,220,220,220
ligament                ,255,255,100,tendon\ligament,ext ligament
tendon                  ,255,255,50,tendon\ligament,ext tendon,pericardium
placenta                ,240,60,60
umbilical cord          ,240,80,0
amniotic fluid          ,128,128,255
